email,label
"Congratulations, you won a lottery! Click here to claim.",spam
"Urgent: Update your account information immediately.",spam
"Your account has been compromised, reset your password.",spam
"Meeting tomorrow at 10 AM in the conference room.",ham
"Lunch with the team at 1 PM.",ham
"Invoice attached for your recent purchase.",ham
"Free offer: Get a new iPhone now!",spam
"Annual company picnic this Saturday.",ham
"Please find the attached report for Q2.",ham
"Don't miss out on this exclusive deal!",spam
"Your subscription is about to expire. Renew now.",spam
"Project deadline extended to next Friday.",ham
"Click here to verify your account information.",spam
"Join us for a webinar on cloud computing.",ham
"Last chance to save 50% on your purchase!",spam
"Reminder: Team meeting at 3 PM.",ham
"Congratulations, your application has been approved.",ham
"Your credit card statement is ready for viewing.",ham
"Your package has been shipped. Track your order here.",ham
"Earn extra cash working from home. Click to learn more.",spam
"Security alert: Unusual activity detected on your account.",spam
"Happy birthday! Enjoy a special gift from us.",ham
"Update: Changes to our privacy policy.",ham
"Invitation to join our new referral program.",ham
"Important: Verify your account to avoid suspension.",spam
"Your flight booking confirmation. Download your e-ticket here.",ham
"Thank you for your purchase! Your order number is 12345.",ham
"Special promotion: Buy one, get one free!",spam
"Welcome to our newsletter! Stay tuned for updates.",ham
"Account alert: Password change request.",spam
"Meeting agenda for next week's conference.",ham
"Your bill payment is due tomorrow.",ham
"Limited time offer: Save 30% on your next order.",spam
"Weekly report: Company performance overview.",ham
"Get instant access to exclusive content. Sign up now.",spam
"Your loan application has been received.",ham
"Friendly reminder: RSVP for the upcoming event.",ham
"Act now to claim your free gift card.",spam
"Notification: Account activity alert.",spam
"Invitation to participate in our customer survey.",ham
"Alert: Suspicious login attempt detected.",spam
"Check out our latest blog post on digital marketing.",ham
"Exclusive offer: Sign up today and save 20%.",spam
"Your appointment is confirmed for Monday at 10 AM.",ham
"Your tax refund has been processed. Click to view details.",spam
"Team outing scheduled for next Friday.",ham
"Your request for a password reset has been received.",ham
"Congratulations, you have been selected for a prize!",spam
"Monthly newsletter: Updates and news.",ham
"Security update: Please change your password immediately.",spam
"Join us for a live chat with industry experts.",ham
"Your subscription has been successfully renewed.",ham
"Urgent: Action required for account verification.",spam
"Welcome aboard! Here are your next steps.",ham
"Get your free trial of our new product today.",spam
"Your order has been delivered. Thank you for shopping with us.",ham
"Congratulations! You've won a free vacation!",spam
"Don't forget to submit your expense report by the end of the week.",ham
"Click here to claim your $1000 prize!",spam
"Team meeting scheduled for 2 PM today, please try to attend.",ham
"You've been selected for a special offer, click here to learn more.",spam
"Remember to update your contact information in the HR system.",ham
"Urgent: Your bank account has been hacked, call this number immediately.",spam
"The project deadline has been extended to next Friday.",ham
"You're eligible for a special discount, use this code to redeem.",spam
"Don't forget to register for the upcoming conference.",ham
"Congratulations! You've been selected for a job interview.",spam
"The monthly sales report is due by the end of the day tomorrow.",ham
"Click here to receive a free iPhone!",spam
"Don't miss the company picnic this Saturday at the park.",ham
"Your subscription is about to expire, click here to renew.",spam
"The IT team will be performing system maintenance tonight.",ham
"Earn extra money from home, click here for details.",spam
"Remember to submit your time off request for the holidays.",ham
"You have an urgent message from your bank, call this number immediately.",spam
"The quarterly financial report is due next week, please submit on time.",ham
"Congratulations! You've won a brand new car, click here to claim.",spam
"Don't forget to review the new company policies in the employee handbook.",ham
"You're eligible for a special discount on our premium services.",spam
"The annual company retreat is scheduled for next month, RSVP today.",ham
